epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2631.78,0.73947,0.56354,1.03375,0.95705,0.87725,0.94079,0.66391,1.0638,0.71287,1.38805,0.000330233,0.000330233,0.000330233
83,2663.22,0.72591,0.53364,1.02113,0.95215,0.88615,0.94854,0.67258,1.03959,0.66474,1.36032,0.000313729,0.000313729,0.000313729
84,2694.53,0.72966,0.54927,1.02566,0.96459,0.89471,0.94021,0.66601,1.08112,0.65054,1.40215,0.000297226,0.000297226,0.000297226
85,2725.78,0.7196,0.5362,1.02348,0.96726,0.88564,0.94913,0.66841,1.06386,0.66493,1.38285,0.000280723,0.000280723,0.000280723
86,2757.06,0.71647,0.52329,1.02503,0.97522,0.88615,0.95143,0.67187,1.02542,0.6422,1.34902,0.00026422,0.00026422,0.00026422
87,2788.81,0.68833,0.51087,1.00746,0.98014,0.8907,0.9531,0.67384,1.07282,0.64921,1.38309,0.000247716,0.000247716,0.000247716
88,2820.05,0.71361,0.51755,1.02432,0.96113,0.90449,0.95266,0.67957,1.02486,0.67682,1.37643,0.000231213,0.000231213,0.000231213
89,2851.09,0.69093,0.51659,1.01226,0.97761,0.89313,0.95512,0.67961,1.01776,0.68163,1.37452,0.00021471,0.00021471,0.00021471
90,2883.66,0.69515,0.52153,1.01693,0.98215,0.86028,0.94989,0.66802,1.04,0.65342,1.38504,0.000198206,0.000198206,0.000198206
91,2917.74,0.62512,0.43266,0.95795,0.98642,0.88946,0.95167,0.67403,1.04496,0.63282,1.39407,0.000181703,0.000181703,0.000181703
92,2948.07,0.59653,0.41458,0.95475,0.98014,0.88284,0.95526,0.68766,1.01217,0.60741,1.35808,0.0001652,0.0001652,0.0001652
93,2979.92,0.59448,0.41228,0.95109,0.97414,0.89277,0.95316,0.6757,1.02514,0.64397,1.35033,0.000148696,0.000148696,0.000148696
94,3010.18,0.58434,0.40491,0.94912,0.98155,0.88615,0.95281,0.68666,1.02291,0.63708,1.34437,0.000132193,0.000132193,0.000132193
95,3039.9,0.58362,0.40122,0.94838,0.96977,0.88781,0.94936,0.6833,1.02333,0.64596,1.33821,0.00011569,0.00011569,0.00011569
96,3069.65,0.57269,0.39234,0.94372,0.97099,0.88946,0.9537,0.68436,1.01053,0.64148,1.32646,9.91865e-05,9.91865e-05,9.91865e-05
97,3099.85,0.5535,0.39692,0.92669,0.96642,0.88371,0.956,0.68674,1.00091,0.63458,1.32755,8.26832e-05,8.26832e-05,8.26832e-05
98,3130.08,0.55063,0.38753,0.93287,0.96131,0.887,0.95532,0.692,1.00714,0.62951,1.33429,6.61799e-05,6.61799e-05,6.61799e-05
99,3161.79,0.55348,0.39284,0.93679,0.96005,0.88587,0.95498,0.68739,0.99615,0.62569,1.33664,4.96766e-05,4.96766e-05,4.96766e-05
100,3192.01,0.54985,0.37849,0.93196,0.96713,0.88515,0.95562,0.68228,0.99241,0.63036,1.33443,3.31733e-05,3.31733e-05,3.31733e-05
